temp, 26.7, sample_timestamp, 14:10:02, received timestamp, 16/11:10:02, Message length, 31.333
temp, 26.71, sample_timestamp, 14:10:13, received timestamp, 16/11:10:14, Message length, 31.667
temp, 26.68, sample_timestamp, 14:10:24, received timestamp, 16/11:10:25, Message length, 31.667
temp, 26.65, sample_timestamp, 14:10:35, received timestamp, 16/11:10:36, Message length, 31.667
temp, 26.65, sample_timestamp, 14:10:46, received timestamp, 16/11:10:47, Message length, 31.667
temp, 26.66, sample_timestamp, 14:10:57, received timestamp, 16/11:10:57, Message length, 31.667
temp, 26.64, sample_timestamp, 14:11:07, received timestamp, 16/11:11:07, Message length, 31.667
temp, 26.62, sample_timestamp, 14:11:17, received timestamp, 16/11:11:18, Message length, 31.667
temp, 26.61, sample_timestamp, 14:11:28, received timestamp, 16/11:11:28, Message length, 31.667
temp, 26.63, sample_timestamp, 14:11:38, received timestamp, 16/11:11:38, Message length, 31.667
temp, 26.66, sample_timestamp, 14:11:48, received timestamp, 16/11:11:49, Message length, 31.667
temp, 26.72, sample_timestamp, 14:11:59, received timestamp, 16/11:11:59, Message length, 31.667
temp, 26.77, sample_timestamp, 14:12:09, received timestamp, 16/11:12:10, Message length, 31.667
temp, 26.85, sample_timestamp, 14:12:20, received timestamp, 16/11:12:20, Message length, 31.333
temp, 26.96, sample_timestamp, 14:12:31, received timestamp, 16/11:12:31, Message length, 27.667
temp, 26.99, sample_timestamp, 14:12:41, received timestamp, 16/11:12:42, Message length, 31.667
temp, 27.02, sample_timestamp, 14:12:52, received timestamp, 16/11:12:52, Message length, 31.667
temp, 27.02, sample_timestamp, 14:13:02, received timestamp, 16/11:13:03, Message length, 31.667
temp, 26.97, sample_timestamp, 14:13:13, received timestamp, 16/11:13:14, Message length, 31.667
temp, 26.83, sample_timestamp, 14:13:24, received timestamp, 16/11:13:25, Message length, 31.667
temp, 26.77, sample_timestamp, 14:13:35, received timestamp, 16/11:13:36, Message length, 31.667
temp, 26.71, sample_timestamp, 14:13:46, received timestamp, 16/11:13:46, Message length, 31.667
temp, 26.66, sample_timestamp, 14:13:57, received timestamp, 16/11:13:57, Message length, 31.667
temp, 26.66, sample_timestamp, 14:14:07, received timestamp, 16/11:14:08, Message length, 31.667
temp, 26.7, sample_timestamp, 14:14:18, received timestamp, 16/11:14:19, Message length, 31.333
temp, 26.77, sample_timestamp, 14:14:29, received timestamp, 16/11:14:30, Message length, 31.333
